fieldwork_start_date,fieldwork_end_date,sample_size,pollster,source_url,source_label,force_label,candidate_name,political_family,estimate_percent,days_until_election
2021-10-18,2021-10-20,1066,OpinionWay,https://www.opinion-way.com/fr/component/edocman/opinionway-pour-les-echos-cnews-radio-classique-presitrack-vague-2-octobre-2021/viewdocument/2695.html,Wikimedia Commons / Wikipédia 2022,DLF,Nicolas Dupont-Aignan,sovereigntist_right,3.0,172
2021-10-18,2021-10-20,1066,OpinionWay,https://www.opinion-way.com/fr/component/edocman/opinionway-pour-les-echos-cnews-radio-classique-presitrack-vague-2-octobre-2021/viewdocument/2695.html,Wikimedia Commons / Wikipédia 2022,EELV,Yannick Jadot,green,8.0,172
2021-10-18,2021-10-20,1066,OpinionWay,https://www.opinion-way.com/fr/component/edocman/opinionway-pour-les-echos-cnews-radio-classique-presitrack-vague-2-octobre-2021/viewdocument/2695.html,Wikimedia Commons / Wikipédia 2022,ENS,Emmanuel Macron,centre,25.0,172
2021-10-18,2021-10-20,1066,OpinionWay,https://www.opinion-way.com/fr/component/edocman/opinionway-pour-les-echos-cnews-radio-classique-presitrack-vague-2-octobre-2021/viewdocument/2695.html,Wikimedia Commons / Wikipédia 2022,LFI,Jean-Luc Mélenchon,left,9.0,172
2021-10-18,2021-10-20,1066,OpinionWay,https://www.opinion-way.com/fr/component/edocman/opinionway-pour-les-echos-cnews-radio-classique-presitrack-vague-2-octobre-2021/viewdocument/2695.html,Wikimedia Commons / Wikipédia 2022,LR,Valérie Pécresse,right,8.0,172
2021-10-18,2021-10-20,1066,OpinionWay,https://www.opinion-way.com/fr/component/edocman/opinionway-pour-les-echos-cnews-radio-classique-presitrack-vague-2-octobre-2021/viewdocument/2695.html,Wikimedia Commons / Wikipédia 2022,PCF,Fabien Roussel,left,2.0,172
2021-10-18,2021-10-20,1066,OpinionWay,https://www.opinion-way.com/fr/component/edocman/opinionway-pour-les-echos-cnews-radio-classique-presitrack-vague-2-octobre-2021/viewdocument/2695.html,Wikimedia Commons / Wikipédia 2022,PS-PP,Anne Hidalgo,centre_left,7.0,172
2021-10-18,2021-10-20,1066,OpinionWay,https://www.opinion-way.com/fr/component/edocman/opinionway-pour-les-echos-cnews-radio-classique-presitrack-vague-2-octobre-2021/viewdocument/2695.html,Wikimedia Commons / Wikipédia 2022,REC,Éric Zemmour,far_right,13.0,172
2021-10-18,2021-10-20,1066,OpinionWay,https://www.opinion-way.com/fr/component/edocman/opinionway-pour-les-echos-cnews-radio-classique-presitrack-vague-2-octobre-2021/viewdocument/2695.html,Wikimedia Commons / Wikipédia 2022,RN,Marine Le Pen,far_right,19.0,172
2021-10-22,2021-10-25,2497,Harris-Interactive,https://harris-interactive.fr/wp-content/uploads/sites/6/2021/10/Rapport-Harris-Vague-19-Intentions-de-vote-Presidentielle-2022-Challenges.pdf,Wikimedia Commons / Wikipédia 2022,DLF,Nicolas Dupont-Aignan,sovereigntist_right,2.0,167
